appid,name,cluster_characteristics,cluster_popularity,cluster_comprehensive
9420,Supreme Commander: Forged Alliance,0,0,0
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",0,0,0
9460,Frontlines™: Fuel of War™,0,0,0
9480,Saints Row 2,0,0,0
9500,Gish,0,0,0
9710,Desperados 2: Cooper's Revenge,0,0,0
9800,Death to Spies,0,0,0
9880,Champions Online,0,0,0
9900,Star Trek Online,0,0,0
9940,Blade Kitten,0,0,0
10090,Call of Duty: World at War,0,0,0
10100,King's Quest™ Collection,0,0,0
10110,Space Quest™ Collection,0,0,0
10130,TimeShift™,0,0,0
10150,Prototype™,0,0,0
10180,Call of Duty®: Modern Warfare® 2,0,0,0
10220,Postal III,0,0,0
10270,Disciples III: Reincarnation,0,0,0
10500,Total War: EMPIRE – Definitive Edition,0,0,0
10680,Aliens vs. Predator™,0,0,0
11020,TrackMania Nations Forever,0,0,0
11040,Sherlock Holmes - Nemesis,0,0,0
11130,Sherlock Holmes: The Mystery of the Mummy,0,0,0
11140,Sherlock Holmes: The Awakened - Remastered Edition,0,0,0
11150,Sherlock Holmes: The Silver Earring,0,0,0
11190,Sherlock Holmes versus Jack the Ripper,0,0,0
11200,Shadowgrounds Survivor,0,0,0
11230,Gumboy Tournament,0,0,0
11240,Space Trader: Merchant Marine,0,0,0
11250,Pacific Storm,0,0,0
11260,Pacific Storm Allies,0,0,0
11280,Penguins Arena: Sedna's World,0,0,0
11330,Obulis,0,0,0
11340,Larva Mortus,0,0,0
11360,Chains,0,0,0
11450,Overlord™,0,0,0
11480,Soldiers: Heroes of World War II,0,0,0
11590,Hospital Tycoon,0,0,0
12100,Grand Theft Auto III,0,0,0
12110,Grand Theft Auto: Vice City,0,0,0
12120,Grand Theft Auto: San Andreas,0,0,0
12130,Manhunt,0,0,0
12140,Max Payne,0,0,0
12150,Max Payne 2: The Fall of Max Payne,0,0,0
12170,Grand Theft Auto,0,0,0
12180,Grand Theft Auto 2,0,0,0
12200,Bully: Scholarship Edition,0,0,0
12210,Grand Theft Auto IV,0,0,0
12220,Grand Theft Auto: Episodes from Liberty City,0,0,0
12320,Sacred Gold,0,0,0
12330,Darkstar One,0,0,0
12360,FlatOut: Ultimate Carnage,0,0,0
12470,Port Royale 2,0,0,0
12500,PuzzleQuest: Challenge of the Warlords,0,0,0
12520,18 Wheels of Steel: American Long Haul,0,0,0
12640,Drakensang,0,0,0
12710,Overlord™: Raising Hell,0,0,0
12770,Rise of the Argonauts,0,0,0
12790,Damnation,0,0,0
12810,Overlord II,0,0,0
12830,Operation Flashpoint: Dragon Rising,0,0,0
13140,America's Army 3,0,0,0
13200,Unreal 2: The Awakening,0,0,0
13210,Unreal Tournament 3 Black,0,0,0
13230,Unreal Tournament 2004: Editor's Choice Edition,0,0,0
13240,Unreal Tournament: Game of the Year Edition,0,0,0
13250,Unreal Gold,0,0,0
13500,Prince of Persia: Warrior Within™,0,0,0
13520,Far Cry®,0,0,0
13530,Prince of Persia: The Two Thrones™,0,0,0
13540,Tom Clancy's Rainbow Six® Vegas,0,0,0
13560,Tom Clancy's Splinter Cell®,0,0,0
13570,Tom Clancy's Splinter Cell Chaos Theory®,0,0,0
13580,Tom Clancy's Splinter Cell Double Agent®,0,0,0
13600,Prince of Persia®: The Sands of Time,0,0,0
13620,Tom Clancy's Ghost Recon® Desert Siege™,0,0,0
15000,Tom Clancy's Rainbow Six Lockdown™,0,0,0
15100,Assassin's Creed™: Director's Cut Edition,0,0,0
15120,Tom Clancy's Rainbow Six® Vegas 2,0,0,0
15130,Beyond Good and Evil™,0,0,0
15170,Heroes of Might & Magic V,0,0,0
15190,Brothers in Arms: Road to Hill 30™,0,0,0
15200,Silent Hunter®: Wolves of the Pacific,0,0,0
15210,Silent Hunter® III,0,0,0
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions,0,0,0
15300,Tom Clancy's Ghost Recon®,0,0,0
15320,IL-2 Sturmovik: 1946,0,0,0
15370,Heroes of Might & Magic V: Tribes of the East,0,0,0
15380,Heroes of Might & Magic V: Hammers of Fate,0,0,0
15390,Brothers in Arms: Hell's Highway™,0,0,0
15500,The Wonderful End of the World,0,0,0
15520,AaAaAA!!! - A Reckless Disregard for Gravity,0,0,0
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,0,0,0
15620,"Warhammer 40,000: Dawn of War II",0,0,0
15700,Oddworld: Abe's Oddysee®,0,0,0
15710,Oddworld: Abe's Exoddus®,0,0,0
15740,Oddworld: Munch's Oddysee,0,0,0
15750,Oddworld: Stranger's Wrath HD,0,0,0
16450,F.E.A.R. 2: Project Origin,0,0,0
16600,Trials 2: Second Edition,0,0,0
16710,Insecticide Part 1,0,0,0
16720,Velvet Assassin,0,0,0
16730,Legendary,0,0,0
16810,Sid Meier's Civilization IV: Colonization,0,0,0
17080,Tribes: Ascend,0,0,0
17100,Children of the Nile: Enhanced Edition,0,0,0
17300,Crysis,0,0,0
17330,Crysis Warhead®,0,0,0
17390,SPORE™,0,0,0
17410,Mirror's Edge™,0,0,0
17430,Need for Speed Undercover,0,0,0
17440,SPORE™ Creepy & Cute Parts Pack,0,0,0
17450,Dragon Age: Origins,0,0,0
17460,Mass Effect,0,0,0
17470,Dead Space,0,0,0
17480,Command & Conquer: Red Alert 3,0,0,0
17500,Zombie Panic! Source,0,0,0
17570,"Pirates, Vikings, and Knights II",0,0,0
17710,Nuclear Dawn,0,0,0
17740,Empires Mod,0,0,0
18000,"Precipice of Darkness, Episode One",0,0,0
18020,"Precipice of Darkness, Episode Two",0,0,0
18040,DeathSpank,0,0,0
18050,DeathSpank: Thongs of Virtue,0,0,0
18070,The Baconing,0,0,0
18120,Unstoppable Gorg,0,0,0
18300,Spectraball,0,0,0
18400,Crazy Machines 2,0,0,0
18420,Crazy Machines,0,0,0
18500,Defense Grid: The Awakening,0,0,0
18700,And Yet It Moves,0,0,0
18820,Zero Gear,0,0,0
19000,Silent Hill Homecoming,0,0,0
19200,Tank Universal,0,0,0
19800,Brothers in Arms: Earned in Blood™,0,0,0
19830,Tom Clancy's Rainbow Six® 3 Gold,0,0,0
19900,Far Cry® 2: Fortune's Edition,0,0,0
19980,Prince of Persia®,0,0,0
20510,S.T.A.L.K.E.R.: Clear Sky,0,0,0
20530,Red Faction,0,0,0
20540,Company of Heroes: Tales of Valor,0,0,0
20550,Red Faction II,0,0,0
20570,"Warhammer® 40,000: Dawn of War® II Chaos Rising",0,0,0
20820,Shatter,0,0,0
20900,The Witcher: Enhanced Edition Director's Cut,0,0,0
20920,The Witcher 2: Assassins of Kings Enhanced Edition,0,0,0
21000,LEGO® Batman™: The Videogame,0,0,0
21090,F.E.A.R.,0,0,0
21100,F.E.A.R. 3,0,0,0
21130,LEGO® Harry Potter: Years 1-4,0,0,0
21660,Street Fighter® IV,0,0,0
21670,Bionic Commando,0,0,0
21680,Bionic Commando: Rearmed,0,0,0
21690,Resident Evil™ 5/ Biohazard 5®,0,0,0
21800,Tom Clancy's EndWar™,0,0,0
21980,Call of Juarez®: Bound in Blood,0,0,0
22000,World of Goo,0,0,0
22100,Mount & Blade,0,0,0
22120,Penumbra: Black Plague Gold Edition,0,0,0
22130,Hearts of Iron 2 Complete,0,0,0
22180,Penumbra Overture,0,0,0
22200,Zeno Clash,0,0,0
22230,Rock of Ages,0,0,0
22300,Fallout 3,0,0,0
22310,Rogue Warrior,0,0,0
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,0,0,0
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,0,0,0
22350,BRINK,0,0,0
22370,Fallout 3: Game of the Year Edition,0,0,0
22380,Fallout: New Vegas,0,0,0
22450,Hunted: The Demon’s Forge™,0,0,0
22600,Worms Reloaded,0,0,0
22610,Alien Breed: Impact,0,0,0
22650,Alien Breed 2: Assault,0,0,0
22670,Alien Breed 3: Descent,0,0,0
23300,Yosumin!™,0,0,0
23380,Gyromancer,0,0,0
23400,Imperium Romanum Gold Edition,0,0,0
23420,Europa Universalis: Rome - Gold Edition ,0,0,0
23450,Grand Ages: Rome,0,0,0
23490,Tropico 3,0,0,0
23530,Earth Defense Force: Insect Armageddon,0,0,0
23700,Puzzle Kingdoms,0,0,0
24010,Train Simulator 2019,0,0,0
24200,DC Universe™ Online,0,0,0
24240,PAYDAY™ The Heist,0,0,0
24400,King Arthur - The Role-playing Wargame,0,0,0
24420,Aquaria,0,0,0
24460,King Arthur: Fallen Champions,0,0,0
24480,King Arthur II: The Role-Playing Wargame,0,0,0
24670,Trainz™ Simulator 12,0,0,0
24720,SPORE™ Galactic Adventures,0,0,0
24740,Burnout Paradise: The Ultimate Box,0,0,0
24780,SimCity™ 4 Deluxe Edition,0,0,0
24790,Command & Conquer 3: Tiberium Wars,0,0,0
24800,Command & Conquer: Red Alert 3 - Uprising,0,0,0
24810,Command & Conquer 3: Kane's Wrath,0,0,0
24840,Medal of Honor: Airborne,0,0,0
24870,Need for Speed: Shift,0,0,0
24960,Battlefield: Bad Company™ 2,0,0,0
24980,Mass Effect 2,0,0,0
25000,Overgrowth,0,0,0
25010,Lugaru HD,0,0,0
25600,Eschalon: Book I,0,0,0
25700,Madballs in Babo:Invasion ,0,0,0
25800,Europa Universalis III Complete,0,0,0
25830,Knights of Honor,0,0,0
25850,Elven Legacy,0,0,0
25890,Hearts of Iron III,0,0,0
25900,King's Bounty: The Legend,0,0,0
25910,Supreme Ruler 2020 Gold,0,0,0
25930,East India Company,0,0,0
25980,Majesty 2,0,0,0
25990,Majesty Gold HD,0,0,0
26000,The Maw,0,0,0
26800,Braid,0,0,0
26900,Crayon Physics Deluxe,0,0,0
27000,The Path,0,0,0
27330,Blacklight: Tango Down,0,0,0
27400,Dangerous High School Girls in Trouble!™,0,0,0
27900,Twin Sector,0,0,0
27940,Dead Horde,0,0,0
28000,Kane & Lynch 2: Dog Days,0,0,0
29180,Osmos,0,0,0
29800,Caster,0,0,0
29900,Dark Sector,0,0,0
31270,Puzzle Agent,0,0,0
32110,LUXOR: Mah Jong,0,0,0
32140,Midnight Mysteries,0,0,0
32160,Zombie Bowl-o-Rama,0,0,0
32310,Indiana Jones® and the Last Crusade™,0,0,0
32330,LEGO® Indiana Jones™: The Original Adventures,0,0,0
32340,LOOM™,0,0,0
32350,STAR WARS™ Starfighter™,0,0,0
32360,The Secret of Monkey Island: Special Edition,0,0,0
32370,STAR WARS™ - Knights of the Old Republic™,0,0,0
32380,STAR WARS™ Jedi Knight: Dark Forces II,0,0,0
32390,STAR WARS™ Jedi Knight - Mysteries of the Sith™,0,0,0
32400,STAR WARS™ - Dark Forces,0,0,0
32420,STAR WARS™: The Clone Wars - Republic Heroes™,0,0,0
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,0,0,0
32440,LEGO® Star Wars™ - The Complete Saga,0,0,0
32450,LEGO® Indiana Jones™ 2: The Adventure Continues,0,0,0
32460,Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,0,0,0
32470,STAR WARS™ Empire at War - Gold Pack,0,0,0
32500,STAR WARS™: The Force Unleashed™ II,0,0,0
32510,LEGO® Star Wars™ III - The Clone Wars™,0,0,0
32900,Restaurant Empire II,0,0,0
33100,Alien Shooter,0,0,0
33110,Alien Shooter: Revisited,0,0,0
33120,Alien Shooter 2: Reloaded,0,0,0
33130,Zombie Shooter,0,0,0
33180,Zombie Shooter 2,0,0,0
33230,Assassin's Creed 2 Deluxe Edition,0,0,0
33320,Prince of Persia: The Forgotten Sands™,0,0,0
33460,From Dust,0,0,0
33520,Tropico Reloaded,0,0,0
33570,Patrician III,0,0,0
33600,Broken Sword 2 - the Smoking Mirror: Remastered,0,0,0
33610,Broken Sword 3 - the Sleeping Dragon,0,0,0
33650,Puzzler World,0,0,0
33670,Disciples III - Renaissance Steam Special Edition,0,0,0
33680,eversion,0,0,0
33770,Drakensang: The River of Time,0,0,0
33900,Arma 2,0,0,0
33930,Arma 2: Operation Arrowhead,0,0,0
33950,Fish Fillets 2,0,0,0
34010,Alpha Protocol™,0,0,0
34030,Total War: NAPOLEON – Definitive Edition,0,0,0
34190,Sonic & SEGA All-Stars Racing,0,0,0
34410,Death to Spies: Moment of Truth,0,0,0
34420,XIII Century – Gold Edition,0,0,0
34600,Order of War™,0,0,0
34820,Combat Wings: Battle of Britain,0,0,0
34830,Sniper: Ghost Warrior,0,0,0
34870,Sniper: Ghost Warrior 2,0,0,0
34900,Bad Rats: the Rats' Revenge,0,0,0
34920,Razor2: Hidden Skies,0,0,0
35000,Mini Ninjas,0,0,0
35070,Flora's Fruit Farm,0,0,0
35130,Lara Croft and the Guardian of Light,0,0,0
35140,Batman: Arkham Asylum Game of the Year Edition,0,0,0
35300,Warfare,0,0,0
35320,Insane 2,0,0,0
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,0,0,0
35460,The Ball,0,0,0
35480,Dwarfs!?,0,0,0
35700,Trine Enchanted Edition,0,0,0
35720,Trine 2: Complete Story,0,0,0
35800,BRAINPIPE: A Plunge to Unhumanity,0,0,0
36000,Foreign Legion: Buckets of Blood,0,0,0
37000,The Void,0,0,0
37030,UFO: Extraterrestrials Gold,0,0,0
37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",0,0,0
37600,Windosill,0,0,0
38210,Roogoo,0,0,0
38400,Fallout: A Post Nuclear Role Playing Game,0,0,0
38410,Fallout 2: A Post Nuclear Role Playing Game,0,0,0
38420,Fallout Tactics: Brotherhood of Steel,0,0,0
38600,Faerie Solitaire,0,0,0
38700,Toki Tori,0,0,0
38720,RUSH,0,0,0
38740,EDGE,0,0,0
39000,Moonbase Alpha,0,0,0
39110,SEASON OF MYSTERY: The Cherry Blossom Murders,0,0,0
39120,RIFT,0,0,0
39140,FINAL FANTASY VII,0,0,0
39150,FINAL FANTASY VIII,0,0,0
39190,Dungeon Siege,0,0,0
39200,Dungeon Siege II,0,0,0
39210,FINAL FANTASY XIV Online,0,0,0
39500,Gothic® 3,0,0,0
39510,Gothic II: Gold Edition,0,0,0
39520,The Guild Gold Edition,0,0,0
39540,SpellForce - Platinum Edition,0,0,0
39560,Painkiller: Resurrection,0,0,0
39630,AquaNox,0,0,0
39640,AquaNox 2: Revelation,0,0,0
39650,The Guild II,0,0,0
39660,The Guild II - Pirates of the European Seas,0,0,0
39670,Chaser,0,0,0
39680,The Guild II Renaissance,0,0,0
39690,ArcaniA,0,0,0
39800,Nation Red,0,0,0
40100,Supreme Commander 2,0,0,0
40300,Risen,0,0,0
40330,Secret Files: Tunguska,0,0,0
40350,Lost Horizon,0,0,0
40380,nail'd,0,0,0
40390,Risen 2: Dark Waters,0,0,0
40400,AI War: Fleet Command,0,0,0
40420,Tidalis,0,0,0
40700,Machinarium,0,0,0
40720,Samorost 2,0,0,0
40930,The Misadventures of P.B. Winterbottom,0,0,0
40950,Stronghold HD,0,0,0
40970,Stronghold Crusader HD,0,0,0
40980,Stronghold Legends: Steam Edition,0,0,0
40990,Mafia,0,0,0
41000,Serious Sam HD: The First Encounter,0,0,0
41070,Serious Sam 3: BFE,0,0,0
41100,Hammerfight,0,0,0
41300,Altitude,0,0,0
41500,Torchlight,0,0,0
41700,S.T.A.L.K.E.R.: Call of Pripyat,0,0,0
41740,Cargo! The Quest for Gravity,0,0,0
41800,Gratuitous Space Battles,0,0,0
41900,The Bard's Tale,0,0,0
42120,Lead and Gold: Gangs of the Wild West,0,0,0
42140,Hamilton's Great Adventure,0,0,0
42170,Krater,0,0,0
42500,DogFighter,0,0,0
42670,Singularity™,0,0,0
42700,Call of Duty®: Black Ops,0,0,0
42850,Arsenal of Democracy: A Hearts of Iron Game,0,0,0
42890,Sword of the Stars: Complete Collection,0,0,0
42910,Magicka,0,0,0
42920,The Kings' Crusade,0,0,0
42940,Elven Legacy: Siege,0,0,0
42960,Victoria II,0,0,0
42980,Victoria I Complete,0,0,0
42990,Sword of the Stars II: Enhanced Edition,0,0,0
43000,Front Mission Evolved,0,0,0
43100,World of Zoo,0,0,0
43190,The Haunted: Hells Reach,0,0,0
44350,GRID 2,0,0,0
44360,F1 2011,0,0,0
44600,GTR - FIA GT Racing Game,0,0,0
44690,GT Legends,0,0,0
45000,Sol Survivor,0,0,0
45100,Secret of the Magic Crystals,0,0,0
45300,Wings of Prey,0,0,0
45400,Fortix,0,0,0
45410,Ignite,0,0,0
45450,Fortix 2,0,0,0
45700,Devil May Cry 4,0,0,0
45710,Dark Void™,0,0,0
45720,Lost Planet: Extreme Condition Colonies Edition,0,0,0
45740,Dead Rising® 2,0,0,0
45750,Lost Planet® 2,0,0,0
45760,Ultra Street Fighter® IV,0,0,0
45770,Dead Rising 2: Off the Record,0,0,0
46000,Bob Came in Pieces,0,0,0
46250,NecroVisioN: Lost Company,0,0,0
46260,Star Wolves 3: Civil War,0,0,0
46270,Star Wolves,0,0,0
46280,Star Wolves 2,0,0,0
46290,Theatre of War,0,0,0
46340,Theatre of War 2: Africa 1943,0,0,0
46350,Real Warfare 1242,0,0,0
46360,Theatre of War 2: Kursk 1943,0,0,0
46370,Rig n Roll,0,0,0
46380,Reign: Conflict of Nations,0,0,0
46400,Greed: Black Border,0,0,0
46410,Avencast: Rise of the Mage,0,0,0
46440,Future Wars,0,0,0
46450,Grotesque Tactics: Evil Heroes,0,0,0
46480,Still Life,0,0,0
46490,Still Life 2,0,0,0
46500,Syberia,0,0,0
46510,Syberia II,0,0,0
46520,Wasteland Angel,0,0,0
46540,Trapped Dead,0,0,0
46550,Post Mortem,0,0,0
46570,Grotesque Tactics 2 – Dungeons and Donuts,0,0,0
46750,Dark Fall: Lost Souls,0,0,0
47400,Stronghold 3 Gold,0,0,0
47410,Stronghold Kingdoms,0,0,0
47700,Command & Conquer 4: Tiberian Twilight,0,0,0
47730,Dragon Age™: Origins Awakening,0,0,0
47780,Dead Space™ 2,0,0,0
47790,Medal of Honor™,0,0,0
47800,RISK™: Factions,0,0,0
47810,Dragon Age: Origins - Ultimate Edition,0,0,0
47870,Need For Speed: Hot Pursuit,0,0,0
47890,The Sims™ 3,0,0,0
47920,Shift 2 Unleashed,0,0,0
48000,LIMBO,0,0,0
48110,Silent Hunter 5®: Battle of the Atlantic,0,0,0
48190,Assassin’s Creed® Brotherhood,0,0,0
48240,Anno 2070™,0,0,0
48700,Mount & Blade: Warband,0,0,0
48720,Mount & Blade: With Fire & Sword,0,0,0
48800,Ship Simulator Extremes,0,0,0
48950,Greed Corp,0,0,0
49300,Commander: Conquest of the Americas,0,0,0
49470,Magic: The Gathering - Duels of the Planeswalkers 2012,0,0,0
49520,Borderlands 2,0,0,0
49600,Beat Hazard,0,0,0
49800,Flight of the Icarus,0,0,0
49810,CreaVures,0,0,0
49900,Plain Sight,0,0,0
50000,Nimbus,0,0,0
50130,Mafia II,0,0,0
50300,Spec Ops: The Line,0,0,0
50510,Burn Zombie Burn!,0,0,0
55000,Flotilla,0,0,0
55040,Atom Zombie Smasher,0,0,0
55100,Homefront,0,0,0
55110,Red Faction®: Armageddon™,0,0,0
55140,MX vs. ATV Reflex,0,0,0
55150,"Warhammer 40,000: Space Marine",0,0,0
55230,Saints Row: The Third,0,0,0
57200,Puzzle Dimension,0,0,0
57300,Amnesia: The Dark Descent,0,0,0
57620,Patrician IV - Steam Special Edition,0,0,0
57640,Broken Sword: Director's Cut,0,0,0
